 
,Player,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Thijs Dallinga,nl NED,FW,22-283,33,25,2099,23.3,12,1,13,12,0,0,4,0,8.6,8.6,2.0,10.6,20,29,154,0.51,0.04,0.56,0.51,0.56,0.37,0.09,0.46,0.37,0.46,Matches,b70afb45
Brecht Dejaegere,be BEL,MF,31-349,27,24,1696,18.8,4,1,5,4,0,0,5,0,2.6,2.6,1.6,4.3,33,94,81,0.21,0.05,0.27,0.21,0.27,0.14,0.09,0.23,0.14,0.23,Matches,4ca4f601
Mikkel Desler,dk DEN,DF,28-083,24,23,2013,22.4,1,2,3,1,0,0,5,1,0.8,0.8,1.3,2.1,44,117,108,0.04,0.09,0.13,0.04,0.13,0.04,0.06,0.09,0.04,0.09,Matches,1d5c96f8
Fares Chaïbi,dz ALG,FWMF,20-166,32,22,2108,23.4,5,5,10,5,0,0,2,0,5.3,5.3,4.6,9.8,60,83,191,0.21,0.21,0.43,0.21,0.43,0.22,0.19,0.42,0.22,0.42,Matches,357103bd
Rafael Ratão,br BRA,FWMF,27-164,26,22,1594,17.7,5,2,7,5,0,0,2,0,4.7,4.7,3.1,7.8,48,69,179,0.28,0.11,0.40,0.28,0.40,0.26,0.18,0.44,0.26,0.44,Matches,40ef7347
Issiaga Sylla,gn GUI,DF,29-132,17,16,1372,15.2,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,51,95,107,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,b99bec05
Moussa Diarra,ml MLI,DF,22-184,22,11,1135,12.6,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.9,21,47,42,0.00,0.08,0.08,0.00,0.08,0.01,0.05,0.07,0.01,0.07,Matches,698f11e3
Gabriel Suazo,cl CHI,DF,25-277,15,11,989,11.0,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.6,19,53,47,0.00,0.09,0.09,0.00,0.09,0.01,0.05,0.06,0.01,0.06,Matches,39b326ed
Ado Onaiwu,jp JPN,FW,27-186,31,7,955,10.6,2,1,3,2,0,0,0,0,1.3,1.3,1.0,2.3,9,25,72,0.19,0.09,0.28,0.19,0.28,0.12,0.10,0.22,0.12,0.22,Matches,ff4df82e
Waren Kamanzi,no NOR,DF,22-183,8,5,459,5.1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,11,18,13,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,a426a912
Denis Genreau,au AUS,MF,23-357,17,4,467,5.2,0,1,1,0,0,0,3,0,0.5,0.5,0.7,1.3,5,20,19,0.00,0.19,0.19,0.00,0.19,0.10,0.14,0.24,0.10,0.24,Matches,badcdcae
Vincent Sierro,ch SUI,MF,27-217,11,4,409,4.5,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,5,33,9,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Matches,92ffb8f9
Kévin Keben Biakolo,cm CMR,DF,19-107,11,4,362,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,5,5,18,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,c43a8336
Logan Costa,cv CPV,DF,22-042,4,2,235,2.6,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,5,11,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches,bfb2056e
Veljko Birman?evi?,rs SRB,FWMF,25-069,22,1,367,4.1,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,16,14,41,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.20,0.15,0.20,Matches,636247ca
Oliver Zandén,se SWE,DFMF,21-272,5,1,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,12,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches,72d4922b
Christian Mawissa,fr FRA,DF,18-025,2,1,98,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2c70d915
Nathan N'Goumou,fr FRA,FW,23-060,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,5,7,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,Matches,e110ea4b
Yanis Begraoui,fr FRA,FWMF,21-313,3,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.00,0.37,Matches,5e6355f8
Saïd Hamulic,nl NED,FW,22-182,5,0,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,52cd0e88
Rhys Healey,wls WAL,FW,28-158,3,0,60,0.7,1,0,1,1,0,0,0,0,0.3,0.3,0.2,0.6,1,0,6,1.50,0.00,1.50,1.50,1.50,0.46,0.36,0.82,0.46,0.82,Matches,07ace8c3
Naatan Skyttä,fi FIN,MF,21-006,2,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,2,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40,Matches,d7547531
Theocharis Tsingaras,gr GRE,MF,22-266,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.85,0.00,0.85,Matches,906baf89
Ylies Aradj,fr FRA,DF,17-342,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,209528d3
Junior Flemmings,jm JAM,FWMF,27-117,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,8aeab818
Kjetil Haug,no NOR,GK,24-335,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,d3ae48eb
Steve Mvoué,cm CMR,MF,21-100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2b089203
Edhy Zuliani,it ITA,MF,18-275,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2a74ef47
Matz Sels,be BEL,GK,31-076,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,834b5c4c
Alexander Djiku,gh GHA,DF,28-277,30,30,2606,29.0,1,2,3,1,0,0,8,0,1.4,1.4,0.7,2.1,4,136,4,0.03,0.07,0.10,0.03,0.10,0.05,0.02,0.07,0.05,0.07,Matches,43e7a164
Habib Diallo,sn SEN,FW,27-329,33,28,2525,28.1,18,1,19,16,2,3,4,1,14.7,12.3,3.1,15.3,32,35,173,0.64,0.04,0.68,0.57,0.61,0.53,0.11,0.63,0.44,0.55,Matches,6605d143
Jean-Ricner Bellegarde,fr FRA,MF,24-320,26,25,2072,23.0,1,6,7,1,0,0,4,0,2.0,2.0,4.5,6.5,88,131,94,0.04,0.26,0.30,0.04,0.30,0.09,0.20,0.28,0.09,0.28,Matches,10f0fdd3
Kévin Gameiro,fr FRA,FW,36-004,30,23,2010,22.3,9,0,9,8,1,2,1,1,7.6,5.9,3.1,8.9,46,67,146,0.40,0.00,0.40,0.36,0.36,0.34,0.14,0.48,0.26,0.40,Matches,42276181
Ismaël Doukouré,fr FRA,DFMF,19-293,24,21,1937,21.5,1,1,2,1,0,0,5,0,0.2,0.2,0.4,0.6,22,91,16,0.05,0.05,0.09,0.05,0.09,0.01,0.02,0.03,0.01,0.03,Matches,0512a60a
Maxime Le Marchand,fr FRA,DF,33-214,24,21,1835,20.4,0,0,0,0,0,0,6,1,0.6,0.6,0.3,0.9,10,87,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,321a71a7
Dimitri Liénard,fr FRA,DFMF,35-089,26,18,1517,16.9,0,0,0,0,0,0,4,0,0.5,0.5,2.0,2.5,23,67,109,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,Matches,f7691f63
Sanjin Prci?,ba BIH,MF,29-174,28,17,1588,17.6,1,1,2,1,0,0,3,1,1.2,1.2,0.8,1.9,13,108,13,0.06,0.06,0.11,0.06,0.11,0.07,0.04,0.11,0.07,0.11,Matches,51c30111
Gerzino Nyamsi,fr FRA,DF,26-111,17,17,1383,15.4,1,1,2,1,0,0,4,1,1.4,1.4,0.1,1.5,13,64,3,0.07,0.07,0.13,0.07,0.13,0.09,0.00,0.10,0.09,0.10,Matches,6043997c
Jean-Eudes Aholou,ci CIV,MF,29-054,28,16,1287,14.3,3,1,4,3,0,0,4,1,1.1,1.1,0.9,2.1,25,48,37,0.21,0.07,0.28,0.21,0.28,0.08,0.07,0.14,0.08,0.14,Matches,48b28bfd
Lucas Perrin,fr FRA,DF,24-175,23,15,1510,16.8,0,0,0,0,0,0,3,0,0.3,0.3,0.7,1.0,12,44,14,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches,49070d66
Mouhamadou Diarra,sn SEN,MFFW,19-130,25,14,1274,14.2,2,2,4,2,0,0,3,0,1.6,1.6,1.6,3.1,53,47,63,0.14,0.14,0.28,0.14,0.28,0.11,0.11,0.22,0.11,0.22,Matches,6d0fe035
Morgan Sanson,fr FRA,MF,28-268,14,14,1071,11.9,1,2,3,1,0,0,1,0,2.5,2.5,1.7,4.1,30,37,56,0.08,0.17,0.25,0.08,0.25,0.21,0.14,0.35,0.21,0.35,Matches,6e7f1353
Frederic Guilbert,fr FRA,DF,28-140,14,13,1101,12.2,0,0,0,0,0,0,3,0,0.5,0.5,0.9,1.4,17,41,47,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches,5d8d7454
Thomas Delaine,fr FRA,DFMF,31-050,16,12,1024,11.4,0,2,2,0,0,0,3,0,0.4,0.4,1.4,1.8,36,21,88,0.00,0.18,0.18,0.00,0.18,0.04,0.12,0.16,0.04,0.16,Matches,8332db56
Adrien Thomasson,fr FRA,MF,29-154,15,10,937,10.4,0,2,2,0,0,0,2,0,1.5,1.5,1.9,3.4,15,41,73,0.00,0.19,0.19,0.00,0.19,0.15,0.18,0.33,0.15,0.33,Matches,c76b7567
Ibrahima Sissoko,fr FRA,MF,25-198,22,9,1011,11.2,0,1,1,0,0,0,0,0,0.6,0.6,0.3,0.9,13,42,39,0.00,0.09,0.09,0.00,0.09,0.06,0.03,0.08,0.06,0.08,Matches,0f8418aa
Eduard Sobol,ua UKR,DF,28-023,14,9,825,9.2,0,1,1,0,0,0,2,0,0.1,0.1,0.7,0.8,16,29,49,0.00,0.11,0.11,0.00,0.11,0.01,0.08,0.09,0.01,0.09,Matches,2ccd89a3
Colin Dagba,fr FRA,DFMF,24-246,18,9,778,8.6,0,0,0,0,0,0,3,0,0.1,0.1,0.8,0.9,24,29,43,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10,Matches,29c02c9f
Ludovic Ajorque,fr FRA,FW,29-077,13,9,771,8.6,1,0,1,0,1,1,1,0,3.4,2.6,0.9,3.5,2,13,55,0.12,0.00,0.12,0.00,0.00,0.39,0.10,0.50,0.30,0.40,Matches,462475ed
Ronaël Pierre-Gabriel,fr FRA,DF,24-334,14,7,653,7.3,0,1,1,0,0,0,3,0,0.2,0.2,0.8,1.0,16,22,35,0.00,0.14,0.14,0.00,0.14,0.03,0.12,0.14,0.03,0.14,Matches,64ba07c0
Lebo Mothiba,za RSA,FWMF,27-105,18,3,429,4.8,3,0,3,3,0,0,0,0,1.1,1.1,0.1,1.1,7,7,29,0.63,0.00,0.63,0.63,0.63,0.22,0.02,0.24,0.22,0.24,Matches,3eaf8817
Nordine Kandil,fr FRA,MFFW,21-194,7,0,101,1.1,0,1,1,0,0,0,0,0,0.2,0.2,0.8,0.9,9,6,9,0.00,0.89,0.89,0.00,0.89,0.14,0.70,0.84,0.14,0.84,Matches,c5908bc4
Franci Bouebari,fr FRA,DF,19-243,2,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,4fb18ca4
Karol Fila,pl POL,DF,24-334,2,0,47,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,4,4,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches,50ac8941
Yuito Suzuki,jp JPN,FWMF,21-200,2,0,24,0.3,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,2,4,3.75,0.00,3.75,3.75,3.75,0.51,0.00,0.51,0.51,0.51,Matches,c25a7a2a
Dany Jean,ht HAI,DFMF,20-166,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.00,0.32,Matches,300ec91c
Marvin Senaya,tg TOG,DF,22-105,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1d383c10
Eiji Kawashima,jp JPN,GK,40-054,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,a4527d33
Anas Nanah,ma MAR,DF,20-062,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,4917d8f5
Antoine Nuss,fr FRA,DF,19-145,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,aad0c56f
Robin Risser,fr FRA,GK,18-162,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,56a66faa
Jordan Robinand,fr FRA,MF,19-239,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,e2348f3d
Tom Saettel,fr FRA,FW,17-328,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,9dd35c94
Marco Bizot,nl NED,GK,32-064,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3d214e5f
Lilian Brassier,fr FRA,DF,23-192,32,31,2733,30.4,0,0,0,0,0,0,4,0,0.9,0.9,0.9,1.8,20,103,29,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,5b146df3
Pierre Lees-Melou,fr FRA,MF,29-353,28,28,2407,26.7,5,1,6,5,0,0,9,1,1.8,1.8,1.4,3.2,28,157,39,0.19,0.04,0.22,0.19,0.22,0.07,0.05,0.12,0.07,0.12,Matches,f5044e54
Franck Honorat,fr FRA,FWMF,26-275,30,27,2338,26.0,5,5,10,5,0,0,1,0,4.6,4.6,8.5,13.1,91,65,236,0.19,0.19,0.38,0.19,0.38,0.18,0.33,0.50,0.18,0.50,Matches,db7849ca
Haris Belkebla,dz ALG,MF,29-105,34,26,2327,25.9,1,0,1,1,0,0,3,0,0.5,0.5,0.6,1.0,19,112,33,0.04,0.00,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04,Matches,2b1bed19
Jean-Kevin Duverne,fr FRA,DF,25-305,30,23,2171,24.1,0,0,0,0,0,0,2,0,0.4,0.4,0.7,1.1,66,126,116,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.02,0.04,Matches,0cbc8baa
Brendan Chardonnet,fr FRA,DF,28-142,26,23,2131,23.7,0,0,0,0,0,0,5,0,1.1,1.1,0.3,1.4,5,65,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,16aa7d4c
Jérémy Le Douaron,fr FRA,MFFW,25-022,28,20,1772,19.7,9,3,12,9,0,0,1,0,7.6,7.6,1.6,9.2,31,24,117,0.46,0.15,0.61,0.46,0.61,0.39,0.08,0.47,0.39,0.47,Matches,88c4d190
Mahdi Camara,fr FRA,MF,24-317,27,20,1722,19.1,1,0,1,1,0,0,3,1,1.7,1.7,0.4,2.1,31,74,42,0.05,0.00,0.05,0.05,0.05,0.09,0.02,0.11,0.09,0.11,Matches,8577e60a
Hugo Magnetti,fr FRA,MF,24-348,30,17,1556,17.3,0,2,2,0,0,0,1,0,0.8,0.8,0.6,1.5,29,69,24,0.00,0.12,0.12,0.00,0.12,0.05,0.04,0.08,0.05,0.08,Matches,d4d35152
Noah Fadiga,sn SEN,DF,23-161,21,16,1308,14.5,1,0,1,1,0,0,2,0,0.7,0.7,0.1,0.8,43,63,36,0.07,0.00,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,Matches,83f03b07
Steve Mounié,bj BEN,FW,28-226,19,16,1302,14.5,5,0,5,4,1,1,1,0,5.7,5.0,0.5,5.5,15,26,63,0.35,0.00,0.35,0.28,0.28,0.40,0.04,0.43,0.34,0.38,Matches,19ba6c6d
Achraf Dari,ma MAR,DF,24-007,18,15,1317,14.6,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,3,33,1,0.07,0.00,0.07,0.07,0.07,0.02,0.00,0.03,0.02,0.03,Matches,5069b796
Mathias Pereira Lage,pt POR,MFFW,26-164,21,15,1181,13.1,2,1,3,2,0,0,2,0,1.3,1.3,1.5,2.8,19,30,92,0.15,0.08,0.23,0.15,0.23,0.10,0.12,0.21,0.10,0.21,Matches,8846a40f
Romain Del Castillo,fr FRA,MFFW,27-045,23,13,1165,12.9,6,6,12,1,5,5,2,0,5.8,1.8,3.5,5.3,41,62,100,0.46,0.46,0.93,0.08,0.54,0.44,0.27,0.72,0.14,0.41,Matches,0be95d34
Christophe Hérelle,mq MTQ,DF,30-264,16,12,1060,11.8,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,2,24,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,3681cfff
Kenny Lala,fr FRA,DF,31-222,13,12,1057,11.7,0,2,2,0,0,0,3,0,0.3,0.3,1.6,1.9,21,38,20,0.00,0.17,0.17,0.00,0.17,0.03,0.14,0.16,0.03,0.16,Matches,770d7eb8
Islam Slimani,dz ALG,FW,34-329,16,11,986,11.0,1,1,2,1,0,1,5,0,2.5,1.7,1.2,2.9,11,26,61,0.09,0.09,0.18,0.09,0.18,0.23,0.11,0.33,0.16,0.26,Matches,ffec9769
Youcef Belaïli,dz ALG,FWMF,31-060,6,4,356,4.0,0,2,2,0,0,0,3,0,0.7,0.7,0.8,1.4,16,14,31,0.00,0.51,0.51,0.00,0.51,0.17,0.19,0.36,0.17,0.36,Matches,1a248246
Jere Uronen,fi FIN,DF,28-304,6,3,300,3.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,3,15,14,0.00,0.30,0.30,0.00,0.30,0.01,0.06,0.07,0.01,0.07,Matches,d75f3980
Félix Lemaréchal,ci CIV,MF,19-279,10,2,259,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,4,13,6,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12,Matches,8ca9415f
Banzouzi Locko,fr FRA,DF,21-007,6,2,254,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,9,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,40221fa7
Alberth Elis,hn HON,MFFW,27-090,9,2,250,2.8,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,7,4,19,0.00,0.00,0.00,0.00,0.00,0.19,0.06,0.25,0.19,0.25,Matches,104b4ad3
Irvin Cardona,fr FRA,FWMF,25-278,10,1,233,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,3,4,14,0.00,0.00,0.00,0.00,0.00,0.08,0.12,0.20,0.08,0.20,Matches,5e080f73
Taïryk Arconte,fr FRA,FW,19-182,4,1,128,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,1,8,0.00,0.00,0.00,0.00,0.00,0.19,0.10,0.29,0.19,0.29,Matches,c5e6c017
Joaquín Blázquez,ar ARG,GK,22-105,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6a9e4913
Karamoko Dembele,sct SCO,FWMF,20-080,14,0,163,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,4,25,0.00,0.00,0.00,0.00,0.00,0.13,0.09,0.21,0.13,0.21,Matches,7304f3b1
Axel Camblan,fr FRA,FWMF,19-256,7,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,4,9,0.00,0.00,0.00,0.00,0.00,0.22,0.17,0.39,0.22,0.39,Matches,9f4a940f
Hianga Mananga Mbock,fr FRA,MF,23-136,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0f86995c
Grégoire Coudert,fr FRA,GK,24-040,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ca95200f
Birama Touré,ml MLI,MF,30-341,34,34,3041,33.8,2,0,2,2,0,1,3,0,1.8,1.0,0.1,1.1,10,126,25,0.06,0.00,0.06,0.06,0.06,0.05,0.00,0.06,0.03,0.03,Matches,a4b798a9
Jubal,br BRA,DF,29-257,33,31,2857,31.7,3,1,4,2,1,1,4,0,3.1,2.3,0.4,2.7,6,62,1,0.09,0.03,0.13,0.06,0.09,0.10,0.01,0.11,0.07,0.09,Matches,56ae428b
Rayan Raveloson,mg MAD,DFMF,26-117,30,23,2077,23.1,1,1,2,1,0,0,0,0,2.0,2.0,0.9,2.9,31,79,49,0.04,0.04,0.09,0.04,0.09,0.09,0.04,0.12,0.09,0.12,Matches,fb3236a7
Gideon Mensah,gh GHA,DF,24-299,22,22,1902,21.1,0,0,0,0,0,0,5,0,0.1,0.1,1.2,1.2,44,96,86,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.06,Matches,9bdd8118
Nuno da Costa,cv CPV,FWMF,32-092,29,19,1730,19.2,5,3,8,5,0,0,5,1,4.2,4.2,3.0,7.2,26,28,108,0.26,0.16,0.42,0.26,0.42,0.22,0.16,0.38,0.22,0.38,Matches,909222de
Benoît Costil,fr FRA,GK,35-314,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2434f24a
Julian Jeanvier,gn GUI,DF,31-043,21,19,1686,18.7,1,0,1,1,0,0,5,1,1.2,1.2,0.0,1.2,4,26,6,0.05,0.00,0.05,0.05,0.05,0.06,0.00,0.07,0.06,0.07,Matches,5cb215fc
Gauthier Hein,fr FRA,MFFW,26-279,31,19,1591,17.7,2,0,2,2,0,0,1,0,3.5,3.5,2.8,6.3,54,62,117,0.11,0.00,0.11,0.11,0.11,0.20,0.16,0.35,0.20,0.35,Matches,563fcd6b
Hamza Sakhi,ma MAR,MF,26-340,25,18,1623,18.0,1,2,3,1,0,0,1,0,1.7,1.7,3.1,4.8,42,131,74,0.06,0.11,0.17,0.06,0.17,0.10,0.17,0.27,0.10,0.27,Matches,c9151d66
M'Baye Niang,sn SEN,FW,28-145,28,17,1432,15.9,5,0,5,2,3,3,2,2,5.6,3.3,0.4,3.7,17,30,84,0.31,0.00,0.31,0.13,0.13,0.35,0.03,0.38,0.21,0.23,Matches,2054d037
Akim Zedadka,dz ALG,DF,27-348,16,16,1369,15.2,0,0,0,0,0,0,5,0,0.4,0.4,0.9,1.2,23,47,59,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches,0ff630d0
Mathias Autret,fr FRA,MFFW,32-073,22,16,1289,14.3,2,2,4,1,1,1,0,0,2.5,1.7,2.0,3.7,20,76,56,0.14,0.14,0.28,0.07,0.21,0.17,0.14,0.31,0.12,0.26,Matches,7dfbba27
Lassine Sinayoko,ml MLI,MFFW,23-156,29,14,1383,15.4,0,2,2,0,0,0,2,1,2.6,2.6,1.9,4.4,44,65,132,0.00,0.13,0.13,0.00,0.13,0.17,0.12,0.29,0.17,0.29,Matches,5e5249c8
Gaëtan Perrin,fr FRA,MFFW,26-340,33,14,1274,14.2,3,1,4,2,1,1,1,0,2.9,2.1,1.9,4.0,48,60,72,0.21,0.07,0.28,0.14,0.21,0.20,0.14,0.34,0.15,0.28,Matches,10dd88f9
Souleymane Touré,fr FRA,DF,20-046,15,14,1228,13.6,1,0,1,1,0,0,5,1,1.0,1.0,0.3,1.3,11,29,6,0.07,0.00,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09,Matches,01fd01e8
Ionu? Radu,ro ROU,GK,25-350,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,67f649be
Youssouf M'Changama,km COM,MF,32-257,25,10,997,11.1,0,0,0,0,0,0,1,0,0.5,0.5,0.9,1.4,16,40,31,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Matches,e05082d1
Paul Joly,fr FRA,DF,22-340,10,10,867,9.6,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.5,19,41,48,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches,5b4bc323
Han-Noah Massengo,fr FRA,MF,21-310,10,9,775,8.6,0,0,0,0,0,0,2,0,0.6,0.6,0.5,1.1,16,27,19,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.13,0.07,0.13,Matches,eba1e557
Matthis Abline,fr FRA,FW,20-046,16,8,750,8.3,2,1,3,1,1,2,0,0,3.0,1.5,0.7,2.2,12,8,42,0.24,0.12,0.36,0.12,0.24,0.37,0.08,0.45,0.18,0.26,Matches,0e46fa2f
Quentin Bernard,fr FRA,DF,33-310,7,7,630,7.0,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,4,27,14,0.00,0.14,0.14,0.00,0.14,0.00,0.08,0.08,0.00,0.08,Matches,3916b09c
Alexandre Coeff,fr FRA,DF,31-082,7,6,586,6.5,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,3,26,9,0.00,0.15,0.15,0.00,0.15,0.01,0.05,0.06,0.01,0.06,Matches,c4065f40
Siriki Dembélé,ci CIV,MF,26-248,8,4,296,3.3,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.8,9,6,23,0.00,0.00,0.00,0.00,0.00,0.05,0.20,0.25,0.05,0.25,Matches,11f54bd5
Gaëtan Charbonnier,fr FRA,FWMF,34-137,6,3,254,2.8,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.7,2,11,18,0.35,0.00,0.35,0.35,0.35,0.21,0.05,0.26,0.21,0.26,Matches,18ebca4b
